,Teks,label,Data_Bersih,Pesan_Kecil,Hilang_angka,Hlang_whitespace,Hilang_huruf,Data_token,kata_sering,stopword,Data_Stemmer
0,"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",2,PROMO Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt1hr Buruan cek  di tselmemytsel1 SK,promo beli paket flash mulai 1gb di my telkomsel app dpt extra kuota 2gb 4g lte dan extra nelpon hingga 100mnt1hr buruan cek  di tselmemytsel1 sk,promo beli paket flash mulai gb di my telkomsel app dpt extra kuota gb g lte dan extra nelpon hingga mnthr buruan cek  di tselmemytsel sk,promo beli paket flash mulai gb di my telkomsel app dpt extra kuota gb g lte dan extra nelpon hingga mnthr buruan cek  di tselmemytsel sk,promo beli paket flash mulai gb di my telkomsel app dpt extra kuota gb  lte dan extra nelpon hingga mnthr buruan cek  di tselmemytsel sk,"['promo', 'beli', 'paket', 'flash', 'mulai', 'gb', 'di', 'my', 'telkomsel', 'app', 'dpt', 'extra', 'kuota', 'gb', 'lte', 'dan', 'extra', 'nelpon', 'hingga', 'mnthr', 'buruan', 'cek', 'di', 'tselmemytsel', 'sk']",<FreqDist with 22 samples and 25 outcomes>,"['promo', 'beli', 'paket', 'flash', 'telkomsel', 'app', 'dpt', 'extra', 'kuota', 'lte', 'extra', 'nelpon', 'mnthr', 'buruan', 'cek', 'tselmemytsel', 'sk']","['promo', 'beli', 'paket', 'flash', 'telkomsel', 'app', 'dpt', 'extra', 'kuota', 'lte', 'extra', 'nelpon', 'mnthr', 'buru', 'cek', 'tselmemytsel', 'sk']"
1,2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,2,25 GB30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih Aktifkan sekarang juga di 550905 Promo sd 30 Nov 2015Buruan aktifkan sekarang SK,25 gb30 hari hanya rp 35 ribu spesial buat anda yang terpilih aktifkan sekarang juga di 550905 promo sd 30 nov 2015buruan aktifkan sekarang sk, gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  promo sd  nov buruan aktifkan sekarang sk,gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  promo sd  nov buruan aktifkan sekarang sk,gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  promo sd  nov buruan aktifkan sekarang sk,"['gb', 'hari', 'hanya', 'rp', 'ribu', 'spesial', 'buat', 'anda', 'yang', 'terpilih', 'aktifkan', 'sekarang', 'juga', 'di', 'promo', 'sd', 'nov', 'buruan', 'aktifkan', 'sekarang', 'sk']",<FreqDist with 19 samples and 21 outcomes>,"['ribu', 'spesial', 'terpilih', 'aktifkan', 'promo', 'nov', 'buruan', 'aktifkan', 'sk']","['ribu', 'spesial', 'pilih', 'aktif', 'promo', 'nov', 'buru', 'aktif', 'sk']"
2,"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,20160708 114711Plg Yth sisa kuota Flash Anda 478KB Download MyTelkomsel apps di httptselmetsel utk cek kuotabeli paket Flash atau hub 363,20160708 114711plg yth sisa kuota flash anda 478kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub 363, plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub ,plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub,plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub,"['plg', 'yth', 'sisa', 'kuota', 'flash', 'anda', 'kb', 'download', 'mytelkomsel', 'apps', 'di', 'httptselmetsel', 'utk', 'cek', 'kuotabeli', 'paket', 'flash', 'atau', 'hub']",<FreqDist with 18 samples and 19 outcomes>,"['sisa', 'kuota', 'flash', 'download', 'mytelkomsel', 'apps', 'httptselmetsel', 'cek', 'kuotabeli', 'paket', 'flash', 'hub']","['sisa', 'kuota', 'flash', 'download', 'mytelkomsel', 'apps', 'httptselmetsel', 'cek', 'kuotabeli', 'paket', 'flash', 'hub']"
3,"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,20160807 112947Plg Yth sisa kuota Flash Anda 7160KB Download MyTelkomsel apps di httptselmetsel utk cek kuotabeli paket Flash atau hub 363,20160807 112947plg yth sisa kuota flash anda 7160kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub 363, plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub ,plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub,plg yth sisa kuota flash anda kb download mytelkomsel apps di httptselmetsel utk cek kuotabeli paket flash atau hub,"['plg', 'yth', 'sisa', 'kuota', 'flash', 'anda', 'kb', 'download', 'mytelkomsel', 'apps', 'di', 'httptselmetsel', 'utk', 'cek', 'kuotabeli', 'paket', 'flash', 'atau', 'hub']",<FreqDist with 18 samples and 19 outcomes>,"['sisa', 'kuota', 'flash', 'download', 'mytelkomsel', 'apps', 'httptselmetsel', 'cek', 'kuotabeli', 'paket', 'flash', 'hub']","['sisa', 'kuota', 'flash', 'download', 'mytelkomsel', 'apps', 'httptselmetsel', 'cek', 'kuotabeli', 'paket', 'flash', 'hub']"
4,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,2,45GB30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih Aktifkan sekarang juga di 550907 Buruan SKB,45gb30 hari hanya rp 55 ribu spesial buat anda yang terpilih aktifkan sekarang juga di 550907 buruan skb,gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  buruan skb,gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  buruan skb,gb hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di  buruan skb,"['gb', 'hari', 'hanya', 'rp', 'ribu', 'spesial', 'buat', 'anda', 'yang', 'terpilih', 'aktifkan', 'sekarang', 'juga', 'di', 'buruan', 'skb']",<FreqDist with 16 samples and 16 outcomes>,"['ribu', 'spesial', 'terpilih', 'aktifkan', 'buruan', 'skb']","['ribu', 'spesial', 'pilih', 'aktif', 'buru', 'skb']"
5,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,2,5 HARI LAGI  EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug25Sept Cek detail promo di tselmemytsel1,5 hari lagi  ekstra pulsa 50rb dg beli paket internet bulanan di mytelkomsel utk pembelian pertama sjk 25aug25sept cek detail promo di tselmemytsel1, hari lagi  ekstra pulsa rb dg beli paket internet bulanan di mytelkomsel utk pembelian pertama sjk augsept cek detail promo di tselmemytsel,hari lagi  ekstra pulsa rb dg beli paket internet bulanan di mytelkomsel utk pembelian pertama sjk augsept cek detail promo di tselmemytsel,hari lagi  ekstra pulsa rb dg beli paket internet bulanan di mytelkomsel utk pembelian pertama sjk augsept cek detail promo di tselmemytsel,"['hari', 'lagi', 'ekstra', 'pulsa', 'rb', 'dg', 'beli', 'paket', 'internet', 'bulanan', 'di', 'mytelkomsel', 'utk', 'pembelian', 'pertama', 'sjk', 'augsept', 'cek', 'detail', 'promo', 'di', 'tselmemytsel']",<FreqDist with 21 samples and 22 outcomes>,"['ekstra', 'pulsa', 'beli', 'paket', 'internet', 'bulanan', 'mytelkomsel', 'pembelian', 'sjk', 'augsept', 'cek', 'detail', 'promo', 'tselmemytsel']","['ekstra', 'pulsa', 'beli', 'paket', 'internet', 'bulan', 'mytelkomsel', 'beli', 'sjk', 'augsept', 'cek', 'detail', 'promo', 'tselmemytsel']"
6,"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",2,Ada iRing dgn tarif Rp 017hr perpanjangan Rp 31907hr dari hits Armada  Pencuri Hati Tekan 8083141 lalu OKCall Info 100111,ada iring dgn tarif rp 017hr perpanjangan rp 31907hr dari hits armada  pencuri hati tekan 8083141 lalu okcall info 100111,ada iring dgn tarif rp hr perpanjangan rp hr dari hits armada  pencuri hati tekan  lalu okcall info ,ada iring dgn tarif rp hr perpanjangan rp hr dari hits armada  pencuri hati tekan  lalu okcall info,ada iring dgn tarif rp hr perpanjangan rp hr dari hits armada  pencuri hati tekan  lalu okcall info,"['ada', 'iring', 'dgn', 'tarif', 'rp', 'hr', 'perpanjangan', 'rp', 'hr', 'dari', 'hits', 'armada', 'pencuri', 'hati', 'tekan', 'lalu', 'okcall', 'info']",<FreqDist with 16 samples and 18 outcomes>,"['iring', 'tarif', 'hr', 'perpanjangan', 'hr', 'hits', 'armada', 'pencuri', 'hati', 'tekan', 'okcall', 'info']","['iring', 'tarif', 'hr', 'panjang', 'hr', 'hits', 'armada', 'curi', 'hati', 'tekan', 'okcall', 'info']"
7,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,2,Akhir bulan harus tetap eksis loh Internetan pake volume ultima 900MB30hr Hrga mulai Rp 35rb di 100471 Tariflokasi cek di tselmefl,akhir bulan harus tetap eksis loh internetan pake volume ultima 900mb30hr hrga mulai rp 35rb di 100471 tariflokasi cek di tselmefl,akhir bulan harus tetap eksis loh internetan pake volume ultima mbhr hrga mulai rp rb di  tariflokasi cek di tselmefl,akhir bulan harus tetap eksis loh internetan pake volume ultima mbhr hrga mulai rp rb di  tariflokasi cek di tselmefl,akhir bulan harus tetap eksis loh internetan pake volume ultima mbhr hrga mulai rp rb di  tariflokasi cek di tselmefl,"['akhir', 'bulan', 'harus', 'tetap', 'eksis', 'loh', 'internetan', 'pake', 'volume', 'ultima', 'mbhr', 'hrga', 'mulai', 'rp', 'rb', 'di', 'tariflokasi', 'cek', 'di', 'tselmefl']",<FreqDist with 19 samples and 20 outcomes>,"['eksis', 'internetan', 'pake', 'volume', 'ultima', 'mbhr', 'hrga', 'tariflokasi', 'cek', 'tselmefl']","['eks', 'internetan', 'pake', 'volume', 'ultima', 'mbhr', 'hrga', 'tariflokasi', 'cek', 'tselmefl']"
8,"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",2,Aktifkan iRing Coboy Jr  Terhebat Tekan 8087 Info 100111 Ada hits terbaru dari NOAH  Jika Engkau Aktifkan iRing nya di HP kamu Ketik MG NOAH02 kirim ke 808 Info 100111 Berkah iRing Rp 1000 dr Yuni Shara  Akhirnya Aktifkan iRing nya Tkn 808123 lalu OkCall Raih THR PuluhanJt Berhenti Unreg ke 808,aktifkan iring coboy jr  terhebat tekan 8087 info 100111 ada hits terbaru dari noah  jika engkau aktifkan iring nya di hp kamu ketik mg noah02 kirim ke 808 info 100111 berkah iring rp 1000 dr yuni shara  akhirnya aktifkan iring nya tkn 808123 lalu okcall raih thr puluhanjt berhenti unreg ke 808,aktifkan iring coboy jr  terhebat tekan  info  ada hits terbaru dari noah  jika engkau aktifkan iring nya di hp kamu ketik mg noah kirim ke  info  berkah iring rp  dr yuni shara  akhirnya aktifkan iring nya tkn  lalu okcall raih thr puluhanjt berhenti unreg ke ,aktifkan iring coboy jr  terhebat tekan  info  ada hits terbaru dari noah  jika engkau aktifkan iring nya di hp kamu ketik mg noah kirim ke  info  berkah iring rp  dr yuni shara  akhirnya aktifkan iring nya tkn  lalu okcall raih thr puluhanjt berhenti unreg ke,aktifkan iring coboy jr  terhebat tekan  info  ada hits terbaru dari noah  jika engkau aktifkan iring nya di hp kamu ketik mg noah kirim ke  info  berkah iring rp  dr yuni shara  akhirnya aktifkan iring nya tkn  lalu okcall raih thr puluhanjt berhenti unreg ke,"['aktifkan', 'iring', 'coboy', 'jr', 'terhebat', 'tekan', 'info', 'ada', 'hits', 'terbaru', 'dari', 'noah', 'jika', 'engkau', 'aktifkan', 'iring', 'nya', 'di', 'hp', 'kamu', 'ketik', 'mg', 'noah', 'kirim', 'ke', 'info', 'berkah', 'iring', 'rp', 'dr', 'yuni', 'shara', 'akhirnya', 'aktifkan', 'iring', 'nya', 'tkn', 'lalu', 'okcall', 'raih', 'thr', 'puluhanjt', 'berhenti', 'unreg', 'ke']",<FreqDist with 36 samples and 45 outcomes>,"['aktifkan', 'iring', 'coboy', 'jr', 'terhebat', 'tekan', 'info', 'hits', 'terbaru', 'noah', 'engkau', 'aktifkan', 'iring', 'hp', 'ketik', 'mg', 'noah', 'kirim', 'info', 'berkah', 'iring', 'dr', 'yuni', 'shara', 'aktifkan', 'iring', 'tkn', 'okcall', 'raih', 'thr', 'puluhanjt', 'berhenti', 'unreg']","['aktif', 'iring', 'coboy', 'jr', 'hebat', 'tekan', 'info', 'hits', 'baru', 'noah', 'engkau', 'aktif', 'iring', 'hp', 'ketik', 'mg', 'noah', 'kirim', 'info', 'berkah', 'iring', 'dr', 'yuni', 'shara', 'aktif', 'iring', 'tkn', 'okcall', 'raih', 'thr', 'puluhanjt', 'henti', 'unreg']"
9,Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,2,Ambil bonus harianmu di 600 Bebas Pulsa Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu di 600 bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu di  bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu di  bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu di  bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,"['ambil', 'bonus', 'harianmu', 'di', 'bebas', 'pulsa', 'dptkan', 'gratis', 'nelpon', 'atau', 'internetan', 'dan', 'promo', 'lainnya', 'sesuai', 'hobimu']",<FreqDist with 16 samples and 16 outcomes>,"['ambil', 'bonus', 'harianmu', 'bebas', 'pulsa', 'dptkan', 'gratis', 'nelpon', 'internetan', 'promo', 'sesuai', 'hobimu']","['ambil', 'bonus', 'hari', 'bebas', 'pulsa', 'dptkan', 'gratis', 'nelpon', 'internetan', 'promo', 'sesuai', 'hobi']"
